,ts,uid,id.orig_h,id.orig_p,id.resp_h,id.resp_p,proto,service,duration,orig_bytes,resp_bytes,conn_state,local_orig,local_resp,missed_bytes,history,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,tunnel_parents,label,durationsec
24,2011-01-25 18:52:42.323916912,C0CZp922Um9L3LoeRk,192.168.3.131,52215,72.14.213.102,443,tcp,ssl,0 days 00:00:00.078080,477,198,SF,,,0,ShADadFRf,6,729,5,410,,normal,0.07808
25,2011-01-25 18:52:43.633486986,C7Tnzi4XLCgUeZysPi,192.168.3.131,58303,208.82.236.129,80,tcp,http,0 days 00:00:00.112666,552,218,SF,,,0,ShADdfFa,5,764,4,390,,normal,0.112666
26,2011-01-25 18:52:43.746980190,CEBp7b2gCogiZq91Nb,192.168.3.131,58304,208.82.236.129,80,tcp,http,0 days 00:00:00.166247,555,6775,SF,,,0,ShADdfFa,6,807,8,7107,,normal,0.166247
27,2011-01-25 18:52:44.037942886,CfaQR61K3VbCxYIRp7,192.168.3.131,58305,208.82.236.129,80,tcp,http,0 days 00:00:00.108976,395,1462,SF,,,0,ShADdfFa,5,607,5,1674,,normal,0.108976
28,2011-01-25 18:52:23.495064974,CdF0N32zPYv23wbdH4,192.168.3.131,55956,66.235.139.121,80,tcp,http,0 days 00:00:21.200145,3489,1834,RSTR,,,0,ShADdr,8,3821,5,2046,,normal,21.200145
29,2011-01-25 18:52:45.934938192,CZrmin3mAiX6AhV73k,192.168.3.131,58310,208.82.236.129,80,tcp,http,0 days 00:00:00.165690,520,8477,SF,,,0,ShADdfFa,7,812,9,8849,,normal,0.16569
30,2011-01-25 18:52:49.987325907,C3SrfK2olA2Idppbw4,192.168.3.131,56042,207.46.148.38,80,tcp,http,0 days 00:00:00.041873,638,573,SF,,,0,ShADfFa,5,850,3,701,,normal,0.041873
31,2011-01-25 18:52:51.018893957,CFdX1D4r19OsImkZVe,192.168.3.131,56052,207.46.148.38,80,tcp,http,0 days 00:00:00.038554,639,1865,SF,,,0,ShADdfFa,5,851,4,2033,,normal,0.038554
32,2011-01-25 18:52:44.048269987,CiQpty3wOnQb3tFGO4,192.168.3.131,56012,65.54.95.140,80,tcp,http,0 days 00:00:09.219604,397,39325,SF,,,0,ShADdfFa,18,1129,30,40537,,normal,9.219604
33,2011-01-25 18:52:53.597974062,CwE9Y71OcVKon1sr16,192.168.3.131,58327,208.82.236.129,80,tcp,http,0 days 00:00:00.161608,570,6028,SF,,,0,ShADdFf,7,862,8,6360,,normal,0.161608
34,2011-01-25 18:52:53.065135002,ChwNWw2p5XKOUaWhXc,192.168.3.131,54600,224.0.0.252,5355,udp,dns,0 days 00:00:00.100132,44,0,S0,,,0,D,2,100,0,0,,normal,0.100132
35,2011-01-25 18:52:57.896236897,CTquYC4IbKbggKaOZf,192.168.3.131,52248,65.54.95.39,80,tcp,http,0 days 00:00:03.464291,295,176,SF,,,0,ShADadfF,6,547,5,388,,normal,3.464291
36,2011-01-25 18:52:52.530290127,CLknPBXuXScKwkwN1,192.168.3.131,56066,65.54.95.75,80,tcp,http,0 days 00:00:09.072329,637,21234,SF,,,0,ShADadfF,12,1129,19,22006,,normal,9.072329
37,2011-01-25 18:52:52.605592012,CPfLKF2eb7qZzuzdIb,192.168.3.131,56067,65.54.95.75,80,tcp,http,0 days 00:00:08.997128,8922,58702,SF,,,0,ShADadfF,38,10454,50,60714,,normal,8.997128
38,2011-01-25 18:52:52.628399134,C03SDU3sH1F5orR3sh,192.168.3.131,56068,65.54.95.68,80,tcp,http,0 days 00:00:08.976882,3203,25433,SF,,,0,ShADadfF,17,3895,25,26445,,normal,8.976882
39,2011-01-25 18:52:52.446588993,Ce9vJTpObPNFQQxn6,192.168.3.131,56065,65.54.95.68,80,tcp,http,0 days 00:00:09.163401,669,173236,SF,,,0,ShADadfF,54,2841,123,178168,,normal,9.163401
40,2011-01-25 18:52:51.020240068,CFoHS73D3qIRRccjGf,192.168.3.131,56053,66.235.133.62,80,tcp,,0 days 00:00:11.888111,3781,2712,RSTR,,,3781,ShAaGdr,4,172,7,3004,,normal,11.888111
41,2011-01-25 18:52:49.749994040,C1tQp74pHRNr1FH0zf,192.168.3.131,56038,65.54.95.140,80,tcp,http,0 days 00:00:13.523008999,1802,14218,SF,,,0,ShADdfFa,13,2334,15,14830,,normal,13.523008
42,2011-01-25 18:52:49.750367880,Cu6GVt2CUqHZWXo7X7,192.168.3.131,56041,65.54.95.140,80,tcp,http,0 days 00:00:13.522750999,1805,23195,SF,,,0,ShADdfFa,16,2457,21,24047,,normal,13.52275
43,2011-01-25 18:52:49.749856949,CkVmUj4paEB09Ykvz3,192.168.3.131,56037,65.54.95.140,80,tcp,http,0 days 00:00:13.523317,1805,40894,SF,,,0,ShADdfFa,22,2697,32,42186,,normal,13.523317
44,2011-01-25 18:52:49.750244856,Ca4yBP3q0ocgQrPxGd,192.168.3.131,56040,65.54.95.140,80,tcp,http,0 days 00:00:13.522978,2405,15695,SF,,,0,ShADdfFa,13,2937,16,16347,,normal,13.522978
45,2011-01-25 18:52:49.750108957,CUxMzO2EHu9YYQRexi,192.168.3.131,56039,65.54.95.140,80,tcp,http,0 days 00:00:13.523166,2402,17655,SF,,,0,ShADdfFa,14,2974,18,18387,,normal,13.523166
46,2011-01-25 18:52:49.749711990,C25N3v9HOTz1vLnO8,192.168.3.131,56036,65.54.95.140,80,tcp,http,0 days 00:00:13.523618,2400,44865,SF,,,0,ShADdfFa,24,3372,36,46317,,normal,13.523618
47,2011-01-25 18:52:49.689769983,C5hN783HBCLYhEZCQ2,192.168.3.131,56030,65.54.95.140,80,tcp,http,0 days 00:00:13.583618,593,1016,SF,,,0,ShADdfFa,6,845,4,1188,,normal,13.583618
48,2011-01-25 18:52:49.690241098,CyXGSw2XSmEiMUwIGg,192.168.3.131,56033,65.54.95.140,80,tcp,http,0 days 00:00:13.583198,585,967,SF,,,0,ShADdfFa,6,837,4,1139,,normal,13.583198
49,2011-01-25 18:52:49.690101862,C8Aau11CmM2Mj7rkA2,192.168.3.131,56032,65.54.95.140,80,tcp,http,0 days 00:00:13.583389,584,961,SF,,,0,ShADdfFa,6,836,4,1133,,normal,13.583389
50,2011-01-25 18:52:49.689955950,CQvUHq4RpjKvPpoff1,192.168.3.131,56031,65.54.95.140,80,tcp,http,0 days 00:00:13.583587,595,1460,SF,,,0,ShADdfFa,6,847,4,1632,,normal,13.583587
51,2011-01-25 18:52:49.473441124,C5ZKt32hiriJ13Hbz2,192.168.3.131,56026,65.54.95.140,80,tcp,http,0 days 00:00:13.800152,1820,6227,SF,,,0,ShADdfFa,9,2192,8,6559,,normal,13.800152
52,2011-01-25 18:52:49.473599911,CirwhmTiJ9OTrnuD6,192.168.3.131,56027,65.54.95.140,80,tcp,http,0 days 00:00:13.800043,3033,5732,SF,,,0,ShADdfFa,12,3525,8,6064,,normal,13.800043
53,2011-01-25 18:52:49.628396988,C3iZph21WYjP6avfQ,192.168.3.131,56028,65.54.95.142,80,tcp,http,0 days 00:00:13.645301,622,5092,SF,,,0,ShADdfFa,7,914,7,5384,,normal,13.645301
